problem_id,trajectory_position,row_in_problem,score,delta_J,y,mask,pos,probe_type
317,5,5,0.11224846800258946,1.931214226616753,0,0.5714285714285714,0.5625,struct
138,6,0,0.13192703180104165,-7.328564251640014,1,0.7142857142857143,0.0,struct
138,6,1,0.1343061559218422,2.900511932373046,0,0.4,0.375,struct
138,6,2,0.17221275542912287,2.6307584762573235,0,0.3333333333333333,0.0,struct
138,6,3,0.1270217887484637,4.553344090779618,0,0.5,0.5,struct
138,6,4,0.14098995087650618,6.917232036590576,0,0.7142857142857143,0.0,struct
138,6,5,0.13596435178060481,6.867807865142822,0,0.7142857142857143,0.125,struct
138,6,6,0.1448369937985203,13.93331241607666,0,0.75,0.0,struct
138,6,7,0.10370544282304081,6.944047927856445,0,0.6666666666666666,0.625,struct
138,6,8,0.1428104151264739,-17.086296131710206,1,0.6,0.0,struct
475,7,0,0.09563090835387254,5.111765225728355,0,0.75,0.5,struct
475,7,1,0.11640306971205179,6.800000190734863,0,0.8571428571428571,0.125,struct
475,7,2,0.1671052201198039,7.127744197845459,0,0.4,0.0,struct
475,7,3,0.14468789618343264,14.400192260742188,0,0.625,0.0,struct
475,7,4,0.13624937570236997,7.47983980178833,0,0.75,0.0,struct
475,7,5,0.14681116143342235,-25.37675153863217,1,0.7142857142857143,0.0,struct
475,7,6,0.16093269865705942,5.393119812011719,0,0.6666666666666666,0.0,struct
493,8,0,0.19899157310094373,1.939209120614187,0,0.1428571428571428,0.0,floor
121,9,0,0.1799053994676948,-5.114387445151806,1,0.5,0.0,struct
184,10,0,0.1671463080598882,4.454997380574547,0,0.4285714285714285,0.125,struct
184,10,1,0.11470226967177621,4.536149342854813,0,0.6666666666666666,0.625,struct
184,10,2,0.14554848775420692,13.953344345092772,0,0.6666666666666666,0.25,struct
184,10,3,0.16294057232669518,2.381514708201088,0,0.25,0.5,floor
184,10,4,0.1792473681142152,-1.279814788805588,1,0.3333333333333333,0.25,struct
184,10,5,0.13623382766724407,7.365888118743896,0,0.8,0.375,struct
184,10,6,0.16250180129591274,-21.63978659808636,1,0.8571428571428571,0.125,struct
184,10,7,0.19837180927559253,-29.42895066924393,1,0.8,0.0,struct
184,10,8,0.26554872749652497,1.9083000421524048,0,0.375,0.0,struct
184,10,9,0.26006631247029477,15.646559715270996,0,0.8,0.0,struct
184,10,10,0.2899287376932838,-2.5063453347954336,1,0.375,0.0,struct
147,11,0,0.21517068653473206,6.543344020843506,0,0.5,0.5,struct
147,11,1,0.2975943363359065,-17.7313738061736,1,0.4,0.0,struct
147,11,2,0.2744916736211538,7.188591957092285,0,0.5,0.0,struct
147,11,3,0.31890526556757737,15.033087730407717,0,0.2857142857142857,0.0,struct
8,12,0,0.30694032363647483,7.5552802085876465,0,0.875,0.0,struct
8,12,1,0.32586158590898506,13.088959693908691,0,0.3333333333333333,0.0,struct
8,12,2,0.24931182212855776,4.375967979431149,0,0.5,0.5,struct
8,12,3,0.3099537608749918,2.259984016418457,0,0.125,0.0,floor
424,13,0,0.28599129709446086,2.6319871902465835,0,0.8333333333333334,0.0,struct
424,13,1,0.27905537197015745,4.521120071411133,0,0.6666666666666666,0.0,struct
438,14,0,0.25303424786225065,1.886212621416364,0,0.3333333333333333,0.25,struct
438,14,1,0.29873178635946424,-4.877383646089584,1,0.5,0.0,struct
